Source,Target,Type,Id,Label,Weight
Iraqi Women Art and War,Reem Alalaf ,Undirected,919,,1
Iraqi Women Art and War,Refugee Resource,Undirected,920,,2
Iraqi Women Art and War,Sheila Paine,Undirected,921,,1
Iraqi Women Art and War,Shelagh Weir,Undirected,922,,1
Iraqi Women Art and War,Syrian Sisters,Undirected,923,,2
Iraqi Women Art and War,Widad Kawar,Undirected,924,,1
Iraqi Women Art and War,the History of Science Museum,Undirected,925,,2
Jairo Santamaría,Javier Utrilla,Undirected,926,,1
Jairo Santamaría,Jesús Javier Muñoz,Undirected,927,,1
Jairo Santamaría,Lucía Sánchez,Undirected,928,,1
Jairo Santamaría,MDA,Undirected,929,,1
Jairo Santamaría,María Soler,Undirected,930,,1
Jairo Santamaría,Mehdi En Nebigui,Undirected,931,,1
Jairo Santamaría,Mª del Carmen García,Undirected,932,,1
Jairo Santamaría,Pablo Serrano,Undirected,933,,1
Jairo Santamaría,Pilar Rey,Undirected,934,,1
Jairo Santamaría,Samuel Cordero,Undirected,935,,1
Jairo Santamaría,Subdirección General de Museos Estatales,Undirected,936,,1
Javier Utrilla,Jesús Javier Muñoz,Undirected,937,,1
Javier Utrilla,Lucía Sánchez,Undirected,938,,1
Javier Utrilla,MDA,Undirected,939,,1
Javier Utrilla,María Soler,Undirected,940,,1
Javier Utrilla,Mehdi En Nebigui,Undirected,941,,1
Javier Utrilla,Mª del Carmen García,Undirected,942,,1
Javier Utrilla,Pablo Serrano,Undirected,943,,1
Javier Utrilla,Pilar Rey,Undirected,944,,1
Javier Utrilla,Samuel Cordero,Undirected,945,,1
Javier Utrilla,Subdirección General de Museos Estatales,Undirected,946,,1
Jenny Balfour-Paul,PR,Undirected,947,,1
Jenny Balfour-Paul,Refugee Resource,Undirected,948,,1
Jenny Balfour-Paul,Syrian Sisters,Undirected,949,,1
Jenny Balfour-Paul,the History of Science Museum,Undirected,950,,1
Jenny Balfour-Paul ,Margaret Mary Vale,Undirected,951,,1
Jenny Balfour-Paul ,Nicola Bird,Undirected,952,,1
Jenny Balfour-Paul ,Nuha Abdo,Undirected,953,,1
Jenny Balfour-Paul ,PR,Undirected,954,,1
Jenny Balfour-Paul ,Reem Alalaf ,Undirected,955,,1
Jenny Balfour-Paul ,Refugee Resource,Undirected,956,,1
Jenny Balfour-Paul ,Sheila Paine,Undirected,957,,1
Jenny Balfour-Paul ,Shelagh Weir,Undirected,958,,1
Jenny Balfour-Paul ,Syrian Sisters,Undirected,959,,1
Jenny Balfour-Paul ,Widad Kawar,Undirected,960,,1
Jenny Balfour-Paul ,the History of Science Museum,Undirected,961,,1
Jeremy Coote,PR,Undirected,962,,1
Jesús Javier Muñoz,Lucía Sánchez,Undirected,963,,1
Jesús Javier Muñoz,MDA,Undirected,964,,1
Jesús Javier Muñoz,María Soler,Undirected,965,,1
Jesús Javier Muñoz,Mehdi En Nebigui,Undirected,966,,1
Jesús Javier Muñoz,Mª del Carmen García,Undirected,967,,1
Jesús Javier Muñoz,Pablo Serrano,Undirected,968,,1
Jesús Javier Muñoz,Pilar Rey,Undirected,969,,1
Jesús Javier Muñoz,Samuel Cordero,Undirected,970,,1
Jesús Javier Muñoz,Subdirección General de Museos Estatales,Undirected,971,,1
Lucía Sánchez,MDA,Undirected,972,,1
Lucía Sánchez,María Soler,Undirected,973,,1
Lucía Sánchez,Mehdi En Nebigui,Undirected,974,,1
Lucía Sánchez,Mª del Carmen García,Undirected,975,,1
Lucía Sánchez,Pablo Serrano,Undirected,976,,1
Lucía Sánchez,Pilar Rey,Undirected,977,,1
Lucía Sánchez,Samuel Cordero,Undirected,978,,1
Lucía Sánchez,Subdirección General de Museos Estatales,Undirected,979,,1
M16,MDA,Undirected,980,,9
M16,Portal de la transparencia,Undirected,981,,9
M16,Universidad de Loughborough (Reino Unido),Undirected,982,,1
MAA,McDonald Institute for Archaeological,Undirected,983,,1
MAA,Mongolia and Inner Asia Research Unit,Undirected,984,,1
MAA,Museum from The Lani Singers,Undirected,985,,1
MAA,Novalia,Undirected,986,,1
MAA,Pembroke College,Undirected,987,,1
MAA,Research Arts council England,Undirected,988,,1
MAA,The Collie Print Trust,Undirected,989,,1
MAA,UCM,Undirected,990,,1
MAA,UK Research and Innovation,Undirected,991,,9
MAA,University of Cambridge,Undirected,992,,7
MAA,the Crowther-Beynon Fund,Undirected,993,,1
MAA,the Fitzwilliam Museum,Undirected,994,,1
MAA,the Frederick Williamson Memorial Fund,Undirected,995,,1
MAA,the Museum of Archaeology and Anthropology,Undirected,996,,1
MAA,the Pilgrim Trust and Art Fund,Undirected,997,,1
MAA,the Sedgwick Museum of Earth Sciences,Undirected,998,,1
MAA,the University Library,Undirected,999,,1
MALI,MRS,Undirected,1000,,1
MALI,MUNTREF,Undirected,1001,,1
MALI,Museo de Arte de Lima,Undirected,1002,,1
MALI,Museo de la Universidad Nacional de Tres de Febrero,Undirected,1003,,1
MDA,MUNA,Undirected,1004,,1
MDA,María Soler,Undirected,1005,,1
MDA,Mehdi En Nebigui,Undirected,1006,,1
MDA,Metropolitan Museum of Art de Nueva York,Undirected,1007,,1
MDA,Museo IXCHEL del traje indigena,Undirected,1008,,1
MDA,Museo Nacional del Ecuador,Undirected,1009,,1
MDA,Mª del Carmen García,Undirected,1010,,1
MDA,Pablo Serrano,Undirected,1011,,1
MDA,Pilar Rey,Undirected,1012,,1
MDA,Portal de la transparencia,Undirected,1013,,9
MDA,Samuel Cordero,Undirected,1014,,1
MDA,Subdirección General de Museos Estatales,Undirected,1015,,1
MDA,Universidad de Loughborough (Reino Unido),Undirected,1016,,1
MNA,Portal España es Cultura,Undirected,1017,,6
MNA,Portal de la transparencia,Undirected,1018,,6
MRS,MUNTREF,Undirected,1019,,1
MRS,Museo Universitario Arte Contemporáneo de la Universidad Nacional Autónoma de México (MUAC),Undirected,1020,,1
MRS,Museo de Arte de Lima,Undirected,1021,,2
MRS,Museo de Reina Sofia,Undirected,1022,,2
MRS,Museo de la Universidad Nacional de Tres de Febrero,Undirected,1023,,1
MRS,PROMPERÚ,Undirected,1024,,1
MRS,Red Conceptualismos del Sur,Undirected,1025,,1
MRS,la Biblioteca y Centro de Documentación del Museo,Undirected,1026,,1
MUNA,Museo Nacional del Ecuador,Undirected,1027,,1
MUNTREF,Museo de Arte de Lima,Undirected,1028,,1
MUNTREF,Museo de la Universidad Nacional de Tres de Febrero,Undirected,1029,,1
Malcolm McLeod,National Ethnographic Museum of Guinea-Bissau,Undirected,1030,,1
Malcolm McLeod,National TV of Guinea-Bissau,Undirected,1031,,1
